config,model,auroc_mean,auroc_std,auprc_mean,auprc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,accuracy_mean,accuracy_std,bss_mean,bss_std,best_thresh_mean,best_thresh_std,dataset,imputer,with_flag,interaction,resampling
TYPE2__zero_pair_smote,lr,0.828,0.022,0.699,0.044,0.675,0.024,0.602,0.066,0.789,0.107,0.74,0.04,0.215,0.042,0.482,0.15,TYPE2,zero,0,1,1
TYPE2__zero_pair_smote,rf,0.988,0.011,0.98,0.016,0.946,0.025,0.95,0.028,0.942,0.029,0.963,0.017,0.838,0.042,0.528,0.095,TYPE2,zero,0,1,1
TYPE2__zero_pair_smote,RF+DNN metastack,0.99,0.01,0.984,0.016,0.947,0.011,0.915,0.036,0.982,0.021,0.962,0.008,0.867,0.038,0.35,0.074,TYPE2,zero,0,1,1
TYPE2__zero_pair_smote,xgb,0.975,0.015,0.948,0.042,0.95,0.02,0.932,0.034,0.969,0.014,0.965,0.015,0.839,0.054,0.42,0.053,TYPE2,zero,0,1,1
TYPE2__zero_flag,ann,0.88,0.021,0.791,0.038,0.745,0.025,0.692,0.029,0.809,0.028,0.811,0.02,0.365,0.054,0.533,0.04,TYPE2,zero,1,0,0
TYPE2__zero_flag,ann_xgb_ens,0.965,0.018,0.945,0.032,0.889,0.031,0.901,0.054,0.879,0.021,0.924,0.023,0.69,0.053,0.553,0.06,TYPE2,zero,1,0,0
TYPE2__zero_flag,deep_ann,0.888,0.019,0.802,0.032,0.738,0.029,0.695,0.024,0.792,0.074,0.809,0.015,0.389,0.048,0.566,0.088,TYPE2,zero,1,0,0
TYPE2__zero_flag,deepnetx2,0.899,0.027,0.824,0.047,0.761,0.034,0.759,0.056,0.77,0.08,0.836,0.022,0.426,0.066,0.61,0.085,TYPE2,zero,1,0,0
TYPE2__zero_flag,lr,0.835,0.029,0.7,0.061,0.661,0.014,0.622,0.106,0.741,0.132,0.74,0.045,0.258,0.056,0.477,0.162,TYPE2,zero,1,0,0
TYPE2__zero_flag,rf,0.988,0.011,0.985,0.011,0.948,0.014,0.96,0.027,0.937,0.008,0.965,0.01,0.835,0.03,0.457,0.068,TYPE2,zero,1,0,0
TYPE2__zero_flag,RF+DNN metastack,0.993,0.007,0.99,0.009,0.943,0.022,0.921,0.045,0.968,0.015,0.96,0.016,0.88,0.028,0.378,0.114,TYPE2,zero,1,0,0
TYPE2__zero_flag,xgb,0.976,0.019,0.962,0.035,0.937,0.02,0.936,0.042,0.939,0.013,0.956,0.015,0.804,0.047,0.468,0.069,TYPE2,zero,1,0,0
TYPE2__zero_flag_smote,ann,0.893,0.023,0.813,0.04,0.755,0.019,0.695,0.032,0.829,0.037,0.816,0.017,0.399,0.064,0.537,0.04,TYPE2,zero,1,0,1
TYPE2__zero_flag_smote,ann_xgb_ens,0.964,0.018,0.943,0.03,0.863,0.032,0.89,0.039,0.839,0.053,0.909,0.02,0.677,0.055,0.628,0.066,TYPE2,zero,1,0,1
TYPE2__zero_flag_smote,deep_ann,0.901,0.023,0.831,0.038,0.756,0.015,0.743,0.032,0.772,0.05,0.83,0.01,0.414,0.05,0.629,0.077,TYPE2,zero,1,0,1
TYPE2__zero_flag_smote,deepnetx2,0.887,0.032,0.808,0.041,0.736,0.047,0.716,0.07,0.762,0.048,0.812,0.041,0.332,0.193,0.632,0.069,TYPE2,zero,1,0,1
TYPE2__zero_flag_smote,lr,0.835,0.028,0.701,0.06,0.668,0.029,0.616,0.093,0.766,0.146,0.742,0.041,0.259,0.054,0.456,0.158,TYPE2,zero,1,0,1
TYPE2__zero_flag_smote,rf,0.989,0.01,0.985,0.011,0.948,0.012,0.955,0.023,0.943,0.031,0.965,0.008,0.84,0.035,0.53,0.074,TYPE2,zero,1,0,1
TYPE2__zero_flag_smote,RF+DNN metastack,0.993,0.007,0.99,0.009,0.946,0.021,0.922,0.037,0.971,0.012,0.962,0.015,0.88,0.027,0.356,0.098,TYPE2,zero,1,0,1
TYPE2__zero_flag_smote,xgb,0.975,0.018,0.958,0.03,0.923,0.029,0.937,0.034,0.911,0.048,0.948,0.019,0.791,0.052,0.564,0.077,TYPE2,zero,1,0,1
TYPE2__zero_flag_pair,ann,0.888,0.018,0.804,0.041,0.758,0.024,0.711,0.038,0.813,0.037,0.822,0.021,0.41,0.05,0.508,0.045,TYPE2,zero,1,1,0
TYPE2__zero_flag_pair,ann_xgb_ens,0.971,0.014,0.95,0.034,0.906,0.028,0.916,0.038,0.898,0.035,0.936,0.019,0.739,0.045,0.567,0.056,TYPE2,zero,1,1,0
TYPE2__zero_flag_pair,deep_ann,0.881,0.019,0.789,0.035,0.747,0.025,0.681,0.046,0.832,0.05,0.807,0.028,0.357,0.045,0.544,0.065,TYPE2,zero,1,1,0
TYPE2__zero_flag_pair,deepnetx2,0.888,0.024,0.803,0.029,0.738,0.042,0.701,0.085,0.788,0.05,0.806,0.051,0.357,0.154,0.559,0.047,TYPE2,zero,1,1,0
TYPE2__zero_flag_pair,lr,0.837,0.027,0.71,0.059,0.664,0.013,0.596,0.067,0.773,0.116,0.733,0.036,0.247,0.047,0.465,0.145,TYPE2,zero,1,1,0
TYPE2__zero_flag_pair,rf,0.989,0.009,0.984,0.011,0.953,0.02,0.964,0.019,0.943,0.033,0.968,0.013,0.837,0.035,0.524,0.115,TYPE2,zero,1,1,0
TYPE2__zero_flag_pair,RF+DNN metastack,0.99,0.009,0.986,0.013,0.926,0.011,0.876,0.025,0.982,0.013,0.946,0.008,0.875,0.036,0.283,0.064,TYPE2,zero,1,1,0
TYPE2__zero_flag_pair,xgb,0.975,0.014,0.957,0.032,0.947,0.02,0.939,0.043,0.956,0.03,0.963,0.015,0.844,0.043,0.439,0.205,TYPE2,zero,1,1,0
TYPE2__zero_flag_pair_smote,ann,0.901,0.021,0.834,0.035,0.759,0.029,0.745,0.039,0.776,0.052,0.831,0.02,0.435,0.059,0.558,0.051,TYPE2,zero,1,1,1
TYPE2__zero_flag_pair_smote,ann_xgb_ens,0.97,0.015,0.942,0.038,0.899,0.041,0.897,0.032,0.902,0.055,0.931,0.027,0.728,0.05,0.586,0.071,TYPE2,zero,1,1,1
TYPE2__zero_flag_pair_smote,deep_ann,0.901,0.011,0.821,0.024,0.764,0.01,0.723,0.025,0.811,0.044,0.828,0.007,0.423,0.033,0.58,0.051,TYPE2,zero,1,1,1
TYPE2__zero_flag_pair_smote,deepnetx2,0.902,0.021,0.826,0.033,0.767,0.039,0.768,0.046,0.766,0.043,0.84,0.027,0.421,0.047,0.652,0.057,TYPE2,zero,1,1,1
TYPE2__zero_flag_pair_smote,lr,0.837,0.026,0.708,0.055,0.665,0.026,0.581,0.089,0.816,0.139,0.719,0.051,0.249,0.045,0.419,0.165,TYPE2,zero,1,1,1
TYPE2__zero_flag_pair_smote,rf,0.988,0.01,0.982,0.012,0.952,0.024,0.953,0.04,0.952,0.029,0.967,0.017,0.84,0.039,0.547,0.112,TYPE2,zero,1,1,1
TYPE2__zero_flag_pair_smote,RF+DNN metastack,0.99,0.009,0.986,0.013,0.935,0.017,0.892,0.028,0.982,0.013,0.953,0.012,0.872,0.035,0.298,0.048,TYPE2,zero,1,1,1
TYPE2__zero_flag_pair_smote,xgb,0.974,0.015,0.947,0.039,0.94,0.013,0.937,0.026,0.944,0.023,0.959,0.009,0.836,0.052,0.531,0.168,TYPE2,zero,1,1,1
TYPE2__median,ann,0.884,0.016,0.786,0.034,0.737,0.028,0.694,0.042,0.791,0.061,0.807,0.023,0.387,0.036,0.532,0.102,TYPE2,median,0,0,0
TYPE2__median,ann_xgb_ens,0.963,0.019,0.942,0.033,0.886,0.032,0.883,0.03,0.89,0.036,0.922,0.022,0.667,0.044,0.536,0.054,TYPE2,median,0,0,0
TYPE2__median,deep_ann,0.872,0.026,0.767,0.044,0.714,0.035,0.685,0.057,0.751,0.054,0.794,0.033,0.291,0.126,0.609,0.069,TYPE2,median,0,0,0
TYPE2__median,deepnetx2,0.891,0.013,0.807,0.02,0.739,0.028,0.713,0.04,0.769,0.041,0.814,0.022,0.363,0.104,0.573,0.063,TYPE2,median,0,0,0
TYPE2__median,lr,0.833,0.026,0.696,0.059,0.673,0.019,0.557,0.029,0.855,0.06,0.716,0.026,0.254,0.056,0.356,0.03,TYPE2,median,0,0,0
TYPE2__median,rf,0.989,0.011,0.985,0.011,0.952,0.011,0.956,0.02,0.947,0.025,0.967,0.007,0.842,0.033,0.468,0.111,TYPE2,median,0,0,0
TYPE2__median,RF+DNN metastack,0.993,0.007,0.989,0.01,0.956,0.018,0.943,0.044,0.971,0.02,0.969,0.013,0.875,0.038,0.401,0.068,TYPE2,median,0,0,0
TYPE2__median,xgb,0.975,0.017,0.961,0.028,0.93,0.026,0.936,0.024,0.925,0.05,0.952,0.016,0.794,0.039,0.456,0.127,TYPE2,median,0,0,0
TYPE2__median_smote,ann,0.882,0.021,0.776,0.036,0.727,0.025,0.704,0.056,0.762,0.086,0.805,0.02,0.39,0.045,0.542,0.142,TYPE2,median,0,0,1
TYPE2__median_smote,ann_xgb_ens,0.966,0.016,0.949,0.026,0.896,0.037,0.897,0.059,0.898,0.051,0.928,0.026,0.673,0.037,0.554,0.097,TYPE2,median,0,0,1
TYPE2__median_smote,deep_ann,0.855,0.051,0.74,0.087,0.702,0.059,0.67,0.078,0.74,0.057,0.784,0.047,0.237,0.205,0.564,0.062,TYPE2,median,0,0,1
TYPE2__median_smote,deepnetx2,0.896,0.03,0.812,0.063,0.756,0.037,0.736,0.067,0.784,0.061,0.826,0.032,0.381,0.186,0.603,0.054,TYPE2,median,0,0,1
TYPE2__median_smote,lr,0.833,0.026,0.695,0.06,0.68,0.017,0.595,0.067,0.818,0.117,0.737,0.037,0.255,0.057,0.404,0.131,TYPE2,median,0,0,1
TYPE2__median_smote,rf,0.989,0.01,0.986,0.01,0.951,0.008,0.962,0.024,0.941,0.023,0.967,0.006,0.845,0.037,0.581,0.132,TYPE2,median,0,0,1
TYPE2__median_smote,RF+DNN metastack,0.993,0.007,0.99,0.009,0.964,0.017,0.96,0.028,0.969,0.022,0.976,0.012,0.879,0.038,0.425,0.091,TYPE2,median,0,0,1
TYPE2__median_smote,xgb,0.974,0.018,0.959,0.026,0.925,0.027,0.929,0.036,0.923,0.02,0.949,0.019,0.784,0.048,0.545,0.033,TYPE2,median,0,0,1
TYPE2__median_pair,ann,0.881,0.019,0.786,0.042,0.73,0.025,0.694,0.031,0.773,0.059,0.804,0.016,0.378,0.04,0.547,0.088,TYPE2,median,0,1,0
TYPE2__median_pair,ann_xgb_ens,0.971,0.014,0.956,0.024,0.907,0.031,0.907,0.022,0.908,0.049,0.936,0.02,0.736,0.05,0.552,0.056,TYPE2,median,0,1,0
TYPE2__median_pair,deep_ann,0.883,0.021,0.789,0.028,0.733,0.03,0.715,0.049,0.756,0.063,0.812,0.022,0.359,0.065,0.626,0.065,TYPE2,median,0,1,0
TYPE2__median_pair,deepnetx2,0.89,0.017,0.797,0.019,0.731,0.043,0.724,0.022,0.743,0.08,0.815,0.022,0.372,0.044,0.661,0.052,TYPE2,median,0,1,0
TYPE2__median_pair,lr,0.833,0.025,0.702,0.059,0.674,0.02,0.551,0.023,0.868,0.026,0.712,0.022,0.24,0.053,0.372,0.026,TYPE2,median,0,1,0
TYPE2__median_pair,rf,0.99,0.009,0.986,0.009,0.95,0.013,0.961,0.025,0.94,0.032,0.966,0.009,0.841,0.032,0.533,0.082,TYPE2,median,0,1,0
TYPE2__median_pair,RF+DNN metastack,0.992,0.007,0.99,0.007,0.954,0.012,0.931,0.029,0.978,0.009,0.968,0.009,0.874,0.026,0.378,0.066,TYPE2,median,0,1,0
TYPE2__median_pair,xgb,0.978,0.011,0.968,0.019,0.954,0.011,0.947,0.022,0.962,0.011,0.968,0.008,0.85,0.037,0.427,0.108,TYPE2,median,0,1,0
TYPE2__median_pair_smote,ann,0.89,0.012,0.799,0.024,0.747,0.013,0.709,0.035,0.792,0.047,0.816,0.014,0.401,0.034,0.541,0.113,TYPE2,median,0,1,1
TYPE2__median_pair_smote,ann_xgb_ens,0.969,0.018,0.948,0.028,0.897,0.036,0.872,0.045,0.925,0.039,0.928,0.026,0.72,0.061,0.532,0.062,TYPE2,median,0,1,1
TYPE2__median_pair_smote,deep_ann,0.892,0.02,0.796,0.028,0.751,0.032,0.709,0.052,0.801,0.031,0.818,0.029,0.394,0.061,0.558,0.088,TYPE2,median,0,1,1
TYPE2__median_pair_smote,deepnetx2,0.892,0.033,0.802,0.055,0.734,0.049,0.707,0.107,0.779,0.06,0.802,0.065,0.38,0.142,0.595,0.065,TYPE2,median,0,1,1
TYPE2__median_pair_smote,lr,0.833,0.024,0.703,0.058,0.672,0.021,0.576,0.041,0.821,0.103,0.727,0.026,0.24,0.051,0.423,0.119,TYPE2,median,0,1,1
TYPE2__median_pair_smote,rf,0.99,0.009,0.987,0.011,0.95,0.02,0.963,0.015,0.939,0.034,0.966,0.013,0.85,0.039,0.578,0.047,TYPE2,median,0,1,1
TYPE2__median_pair_smote,RF+DNN metastack,0.992,0.007,0.99,0.007,0.95,0.022,0.929,0.051,0.974,0.013,0.964,0.017,0.875,0.022,0.368,0.076,TYPE2,median,0,1,1
TYPE2__median_pair_smote,xgb,0.978,0.013,0.962,0.019,0.944,0.019,0.942,0.036,0.947,0.024,0.962,0.014,0.842,0.047,0.558,0.16,TYPE2,median,0,1,1
TYPE2__median_flag,ann,0.892,0.024,0.807,0.038,0.76,0.03,0.705,0.021,0.825,0.045,0.822,0.019,0.416,0.064,0.504,0.056,TYPE2,median,1,0,0
TYPE2__median_flag,ann_xgb_ens,0.964,0.016,0.943,0.031,0.888,0.028,0.908,0.044,0.87,0.022,0.925,0.02,0.687,0.041,0.573,0.064,TYPE2,median,1,0,0
TYPE2__median_flag,deep_ann,0.895,0.014,0.817,0.029,0.754,0.026,0.719,0.057,0.798,0.047,0.822,0.027,0.412,0.035,0.564,0.097,TYPE2,median,1,0,0
TYPE2__median_flag,deepnetx2,0.908,0.022,0.841,0.035,0.749,0.027,0.765,0.065,0.738,0.045,0.83,0.025,0.44,0.06,0.653,0.072,TYPE2,median,1,0,0
TYPE2__median_flag,lr,0.835,0.029,0.7,0.061,0.66,0.013,0.621,0.107,0.741,0.133,0.739,0.045,0.258,0.056,0.475,0.164,TYPE2,median,1,0,0
TYPE2__median_flag,rf,0.989,0.01,0.985,0.012,0.949,0.006,0.966,0.022,0.933,0.023,0.966,0.004,0.841,0.032,0.505,0.099,TYPE2,median,1,0,0
TYPE2__median_flag,RF+DNN metastack,0.993,0.007,0.99,0.009,0.954,0.018,0.937,0.032,0.972,0.014,0.968,0.013,0.883,0.03,0.377,0.067,TYPE2,median,1,0,0
TYPE2__median_flag,xgb,0.976,0.017,0.96,0.032,0.932,0.015,0.94,0.036,0.927,0.043,0.954,0.01,0.799,0.038,0.493,0.125,TYPE2,median,1,0,0
TYPE2__median_flag_smote,ann,0.899,0.025,0.822,0.039,0.755,0.027,0.738,0.051,0.776,0.033,0.828,0.025,0.422,0.052,0.6,0.082,TYPE2,median,1,0,1
TYPE2__median_flag_smote,ann_xgb_ens,0.963,0.017,0.941,0.03,0.873,0.036,0.877,0.038,0.87,0.051,0.914,0.024,0.672,0.05,0.594,0.054,TYPE2,median,1,0,1
TYPE2__median_flag_smote,deep_ann,0.901,0.02,0.823,0.029,0.739,0.038,0.773,0.094,0.734,0.134,0.826,0.013,0.422,0.074,0.68,0.081,TYPE2,median,1,0,1
TYPE2__median_flag_smote,deepnetx2,0.885,0.033,0.805,0.049,0.73,0.042,0.697,0.078,0.776,0.072,0.802,0.045,0.3,0.197,0.535,0.034,TYPE2,median,1,0,1
TYPE2__median_flag_smote,lr,0.835,0.027,0.701,0.06,0.662,0.016,0.619,0.094,0.747,0.139,0.74,0.04,0.259,0.054,0.465,0.164,TYPE2,median,1,0,1
TYPE2__median_flag_smote,rf,0.99,0.009,0.986,0.01,0.953,0.013,0.964,0.03,0.943,0.03,0.968,0.009,0.842,0.035,0.562,0.109,TYPE2,median,1,0,1
TYPE2__median_flag_smote,RF+DNN metastack,0.993,0.007,0.99,0.009,0.935,0.022,0.914,0.059,0.961,0.028,0.954,0.017,0.884,0.031,0.386,0.191,TYPE2,median,1,0,1
TYPE2__median_flag_smote,xgb,0.974,0.016,0.958,0.024,0.926,0.023,0.925,0.035,0.927,0.014,0.949,0.016,0.784,0.046,0.549,0.054,TYPE2,median,1,0,1
TYPE2__median_flag_pair,ann,0.884,0.026,0.795,0.048,0.737,0.021,0.701,0.056,0.784,0.06,0.809,0.025,0.391,0.074,0.539,0.068,TYPE2,median,1,1,0
TYPE2__median_flag_pair,ann_xgb_ens,0.972,0.014,0.955,0.028,0.913,0.027,0.923,0.031,0.903,0.04,0.941,0.018,0.745,0.054,0.562,0.079,TYPE2,median,1,1,0
TYPE2__median_flag_pair,deep_ann,0.888,0.023,0.795,0.042,0.742,0.025,0.707,0.038,0.784,0.047,0.814,0.021,0.394,0.064,0.568,0.053,TYPE2,median,1,1,0
TYPE2__median_flag_pair,deepnetx2,0.903,0.024,0.826,0.049,0.757,0.031,0.761,0.06,0.759,0.051,0.834,0.027,0.432,0.071,0.631,0.08,TYPE2,median,1,1,0
TYPE2__median_flag_pair,lr,0.836,0.027,0.71,0.06,0.655,0.013,0.597,0.099,0.764,0.142,0.724,0.055,0.244,0.05,0.466,0.187,TYPE2,median,1,1,0
TYPE2__median_flag_pair,rf,0.99,0.009,0.986,0.01,0.955,0.019,0.963,0.023,0.947,0.027,0.97,0.013,0.843,0.032,0.518,0.106,TYPE2,median,1,1,0
TYPE2__median_flag_pair,RF+DNN metastack,0.991,0.007,0.989,0.008,0.937,0.025,0.903,0.055,0.975,0.015,0.954,0.02,0.873,0.025,0.351,0.106,TYPE2,median,1,1,0
TYPE2__median_flag_pair,xgb,0.978,0.011,0.966,0.022,0.954,0.014,0.95,0.025,0.958,0.017,0.968,0.01,0.852,0.036,0.476,0.103,TYPE2,median,1,1,0
TYPE2__median_flag_pair_smote,ann,0.897,0.022,0.811,0.028,0.752,0.036,0.744,0.081,0.769,0.063,0.826,0.033,0.419,0.063,0.597,0.076,TYPE2,median,1,1,1
TYPE2__median_flag_pair_smote,ann_xgb_ens,0.972,0.016,0.953,0.029,0.889,0.039,0.903,0.039,0.877,0.057,0.926,0.026,0.734,0.059,0.629,0.063,TYPE2,median,1,1,1
TYPE2__median_flag_pair_smote,deep_ann,0.907,0.018,0.84,0.03,0.781,0.018,0.768,0.071,0.804,0.071,0.846,0.019,0.441,0.062,0.595,0.09,TYPE2,median,1,1,1
TYPE2__median_flag_pair_smote,deepnetx2,0.916,0.02,0.852,0.032,0.783,0.023,0.788,0.03,0.779,0.031,0.852,0.016,0.486,0.058,0.614,0.069,TYPE2,median,1,1,1
TYPE2__median_flag_pair_smote,lr,0.836,0.025,0.708,0.056,0.669,0.019,0.575,0.062,0.819,0.088,0.722,0.04,0.245,0.044,0.415,0.117,TYPE2,median,1,1,1
TYPE2__median_flag_pair_smote,rf,0.99,0.009,0.986,0.01,0.95,0.015,0.957,0.02,0.943,0.023,0.966,0.01,0.846,0.037,0.555,0.066,TYPE2,median,1,1,1
TYPE2__median_flag_pair_smote,RF+DNN metastack,0.992,0.007,0.989,0.008,0.943,0.026,0.91,0.052,0.98,0.019,0.959,0.02,0.873,0.03,0.366,0.082,TYPE2,median,1,1,1
TYPE2__median_flag_pair_smote,xgb,0.976,0.013,0.959,0.026,0.952,0.011,0.95,0.031,0.955,0.024,0.967,0.008,0.842,0.049,0.615,0.115,TYPE2,median,1,1,1
