config,model,auroc_mean,auroc_std,auprc_mean,auprc_std,f1_mean,f1_std,precision_mean,recall_mean,accuracy_mean,brier_mean,best_thresh_mean,best_thresh_std,dataset,imputer,with_flag,avg_rank
NHANES__raw_flag,ann,0.9398137108792846,0.0101291471427692,0.7272619231542883,0.0405922302796452,0.7506990720049618,0.0306175401412516,0.70096150308431,0.8149180327868853,0.934878243512974,0.0574472139987101,0.5229999999999999,0.0944457516249407,NHANES,raw,1,89.25
NHANES__raw_flag,ann_xgb_ens,0.9564182811723796,0.0063235217691004,0.7781878707919315,0.0466479501500713,0.7772861252732675,0.0121196408848997,0.6816260257890905,0.9042622950819672,0.937274251497006,0.0449225069268562,0.2559999999999999,0.0537819672380994,NHANES,raw,1,97.86111111111111
NHANES__raw_flag,deep_ann,0.9124716840536512,0.0665310993347748,0.6482703359943107,0.1970645191152061,0.6711426149607969,0.1875397305902452,0.6524054543392654,0.7102185792349727,0.9224998003992017,0.0934264954193826,0.5959999999999999,0.1093960693992247,NHANES,raw,1,80.83333333333333
NHANES__raw_flag,deepnetx2,0.8895824639841032,0.1138298957904737,0.6481644983886891,0.1946324260801387,0.666689413068699,0.1868150939794812,0.6174079529341564,0.7363934426229508,0.9049373253493014,0.0948431518646039,0.566,0.1015750953728324,NHANES,raw,1,81.19444444444444
NHANES__raw_flag,lr,0.8769672131147541,0.0272988328250417,0.642719035770941,0.0242819332142097,0.6902280891997843,0.0109185106144486,0.6699150969429607,0.7160655737704917,0.9220942115768462,0.1108570047303878,0.6129999999999999,0.0567450438364443,NHANES,raw,1,98.72222222222223
NHANES__raw_flag,rf,0.9620319796323894,0.0044629999295373,0.7881152662907228,0.0483760118595025,0.7860563362534915,0.0087610975480057,0.708282020370628,0.8844808743169399,0.9416686626746508,0.0424410075776113,0.3169999999999999,0.052630789467763,NHANES,raw,1,92.72222222222223
NHANES__raw_flag,stack_lr_oof,0.9631053154495778,0.0019654060113928,0.7871721334382348,0.0424767164871539,0.7819696801087719,0.011166449920607,0.7040172107420253,0.8810928961748633,0.940470259481038,0.0424869334336386,0.292,0.037848381735551,NHANES,raw,1,94.36111111111111
NHANES__raw_flag,xgb,0.9559017635370092,0.0071753179512358,0.7780767078278753,0.0585658265631949,0.7497560017462653,0.0295161517343603,0.6482791435460211,0.8942622950819672,0.9272854291417164,0.0469414345962018,0.119,0.0673980711890184,NHANES,raw,1,87.36111111111111
NHANES__raw,ann,0.8187626676602087,0.119204565844417,0.4922330659398429,0.2288496298751164,0.513429732556596,0.2216335864797316,0.4798370376856432,0.6399453551912568,0.8166970059880241,0.1283769389273324,0.5049999999999999,0.1118592866059854,NHANES,raw,0,100.97222222222223
NHANES__raw,ann_xgb_ens,0.9562644063586688,0.0089461434704526,0.7792006814481398,0.0482316195442657,0.7646660552313159,0.0253542414478986,0.6632262873226729,0.9043715846994536,0.9324774451097804,0.0447603695484266,0.2039999999999999,0.085979648754807,NHANES,raw,0,97.16666666666667
NHANES__raw,deep_ann,0.9374520615996026,0.015839653530478,0.7169558192422967,0.0336106380588639,0.7499612269883309,0.0279324137542903,0.6984126218793529,0.8184153005464481,0.934074251497006,0.0594719708013554,0.502,0.1394901430209318,NHANES,raw,0,90.80555555555556
NHANES__raw,deepnetx2,0.9491864133134624,0.0075654135086125,0.7650736945066454,0.0243000730837906,0.7662373797559459,0.0205326272488627,0.6968791307498762,0.8577595628415301,0.9368734530938124,0.0619538177609927,0.5599999999999999,0.0489897948556635,NHANES,raw,0,97.52777777777777
NHANES__raw,lr,0.8769672131147541,0.0272988328250417,0.642719035770941,0.0242819332142097,0.6902280891997843,0.0109185106144486,0.6699150969429607,0.7160655737704917,0.9220942115768462,0.1108570047303878,0.6129999999999999,0.0567450438364443,NHANES,raw,0,102.80555555555556
NHANES__raw,rf,0.9620319796323894,0.0044629999295373,0.7881152662907228,0.0483760118595025,0.7860563362534915,0.0087610975480057,0.708282020370628,0.8844808743169399,0.9416686626746508,0.0424410075776113,0.3169999999999999,0.052630789467763,NHANES,raw,0,96.75
NHANES__raw,stack_lr_oof,0.9632164679582712,0.0021428713746059,0.7843734093691965,0.0419873561454163,0.7790104236629553,0.0080050848791462,0.7015950421966682,0.8778142076502732,0.9396718562874252,0.0425025289734117,0.289,0.0232916293977042,NHANES,raw,0,99.19444444444444
NHANES__raw,xgb,0.9559017635370092,0.0071753179512358,0.7780767078278753,0.0585658265631949,0.7497560017462653,0.0295161517343603,0.6482791435460211,0.8942622950819672,0.9272854291417164,0.0469414345962018,0.119,0.0673980711890184,NHANES,raw,0,92.63888888888889
NHANES__imp_median,ann,0.8649328117237953,0.0217164357521967,0.4858929749942683,0.051028439275895,0.54777446449403,0.042491200478454,0.4469498370067629,0.7201092896174863,0.8557684630738522,0.1144776846617844,0.501,0.0594138031100518,NHANES,median,0,115.08333333333333
NHANES__imp_median,ann_xgb_ens,0.9507791852955788,0.0061568278265788,0.7435782502261611,0.044864943605034,0.734091236832963,0.0260962816855188,0.6772257196955993,0.8119672131147541,0.929287025948104,0.049771799698288,0.3649999999999999,0.1393287479309277,NHANES,median,0,102.25
NHANES__imp_median,deep_ann,0.8516614505712866,0.0278800585343576,0.4547794751257957,0.0648895305347321,0.5138676141383159,0.0463820988223691,0.4444756345137453,0.6239344262295082,0.8561804391217566,0.1438416643063731,0.6079999999999999,0.0557449549286749,NHANES,median,0,106.94444444444444
NHANES__imp_median,deepnetx2,0.842964480874317,0.0143861743084268,0.4355144049118397,0.0347149514285937,0.4852013242178085,0.0540066132337027,0.3917896782538715,0.6504918032786885,0.8325860279441117,0.1660029039201336,0.58,0.0669888050348713,NHANES,median,0,114.69444444444444
NHANES__imp_median,lr,0.798587307501242,0.0169699953491469,0.3520884097266286,0.0306507240673667,0.3897949993203272,0.0231206074148008,0.3253935926198629,0.5246448087431694,0.8026331337325349,0.1867450068033974,0.6439999999999999,0.0811942116163461,NHANES,median,0,119.80555555555556
NHANES__imp_median,rf,0.9496053775459512,0.006372125711292,0.7360070858093775,0.0606407709270925,0.7406304669016224,0.0172630880670505,0.6846400946061507,0.8186338797814207,0.9308830339321356,0.0489876832459138,0.3019999999999999,0.1112766821935305,NHANES,median,0,99.25
NHANES__imp_median,stack_lr_oof,0.9550778688524588,0.0056234401097432,0.7494032356010111,0.0619838776106594,0.747838747434421,0.0084537896611354,0.6877332355950581,0.8219672131147542,0.932880638722555,0.047696116981381,0.3079999999999999,0.0484252000512129,NHANES,median,0,103.13888888888889
NHANES__imp_median,xgb,0.9542732240437156,0.0066963760954759,0.742560644226246,0.0495803848189515,0.7316851329199695,0.0130691908322803,0.6326488667961359,0.8680327868852459,0.9228894211576848,0.0529589614499131,0.126,0.0124498995979887,NHANES,median,0,107.30555555555556
NHANES__imp_median_flag,ann,0.8737671385991058,0.0337426466254405,0.5192696787497268,0.1070701992654731,0.5623494186991327,0.0760149504195997,0.4522641770691972,0.74551912568306,0.8581524950099799,0.1217818154385499,0.5609999999999999,0.0646529195009785,NHANES,median,1,100.66666666666667
NHANES__imp_median_flag,ann_xgb_ens,0.9513075012419276,0.0050635559192535,0.7445314301135161,0.0473561691884298,0.7487776240456495,0.0190293734856844,0.656719326195623,0.8712021857923498,0.929284630738523,0.049769555113687,0.2899999999999999,0.0435889894354067,NHANES,median,1,104.30555555555556
NHANES__imp_median_flag,deep_ann,0.8149971435668156,0.1061080980205228,0.4254406563066039,0.1456923353978703,0.4580344460590208,0.1477958739113174,0.4079510243635444,0.5514754098360657,0.8318115768463074,0.1508243448694506,0.6009999999999999,0.1380851186768509,NHANES,median,1,98.58333333333333
NHANES__imp_median_flag,deepnetx2,0.8057861400894188,0.0781697484857605,0.3637212852845345,0.0849371309845385,0.4244826038296151,0.0907080877314242,0.3472205953903414,0.5748633879781421,0.8086171656686627,0.1807607126196975,0.5549999999999999,0.0839642781187333,NHANES,median,1,99.30555555555556
NHANES__imp_median_flag,lr,0.798587307501242,0.0169699953491469,0.3520884097266286,0.0306507240673667,0.3897949993203272,0.0231206074148008,0.3253935926198629,0.5246448087431694,0.8026331337325349,0.1867450068033974,0.6439999999999999,0.0811942116163461,NHANES,median,1,114.47222222222223
